configuration,ate_rmse_m,rpe_trans_percent,rpe_rot_deg_per_m,failures,fallbacks,loop_candidates,loop_closures,ba_accepted,ba_runs,ba_rejected,active_points_culled
strict_full,3.4278875727725295,2.037647159389003,0.015980093013734726,12,12,17,0,47,64,17,1282
no_left_right_check,3.771596281320698,2.8141964361659393,0.026826964256173414,6,6,16,0,53,68,15,1558
no_quality_gates,3.4419145175904036,2.0374495654297373,0.015995505282307552,11,11,17,0,48,65,17,1255
no_joint_ba,59.36140520643406,36.005936515826264,0.48667280012986697,12,12,17,0,62,64,2,511
no_affine_brightness,3.325326112600124,2.0561185168789855,0.018274019274028008,7,7,16,0,64,66,2,1746
loop_candidates_only,3.4278875727725295,2.037647159389003,0.015980093013734726,12,12,17,0,47,64,17,1282
lk_pnp_only,3.7975935013490583,3.0280705524273563,0.020311447655262334,9,9,15,0,49,65,16,1416
photometric_with_motion_gate,2.8182218870472266,1.7394963332934867,0.014729194679302806,25,25,16,0,42,59,17,2480
grid_uniform_selection,4.0707826261584,2.5953832934962056,0.026410931011925914,16,16,13,0,47,63,16,1238
outlier_culling_on,3.6679759054285106,2.1736892347900323,0.020570734877910314,17,17,13,0,46,61,15,2582
outlier_culling_off,2.8182218870472266,1.7394963332934867,0.014729194679302806,25,25,16,0,42,59,17,2480
