frame_id,timestamp,tracking_cost,tracking_cost_per_point,valid_projected_points,valid_projected_ratio,residual_mean,residual_median,residual_p95,inlier_ratio,relative_translation_m,relative_rotation_deg,affine_gain,affine_bias,brightness_mode,depth_filter,lk_inliers,lk_photometric_translation_delta_m,lk_photometric_rotation_delta_deg,tracking_failure,fallback_used,fallback_reason,failure_reason,keyframe_inserted,consecutive_failures,reinitializations,active_window_keyframes,active_inverse_depth_points,active_points_culled,residual_p95_gate_rejections,cost_jump_rejections,lk_consistency_rejections,loop_candidates,loop_verified,loop_corrections_applied,ba_runs,ba_accepted,ba_rejected
0,0.0,,,0,0.0,,,,,,,1.0,0.0,affine,left_right_consistency,0,,,False,False,,,True,0,0,1,600,0,0,0,0,0,0,0,0,0,0
1,0.1037359,115818.99393379285,169.57392962487972,683,0.8623737373737373,15.623347279567628,6.873957845623963,58.967509595949394,0.8096632503660323,0.6769003319768964,0.27849389291978754,0.9520299864105224,4.376163974976687,affine,left_right_consistency,490,0.020231151530794692,0.012052187733709857,False,False,,,False,0,0,1,600,0,0,0,0,0,0,0,0,0,0
2,0.2073381,141484.22510909924,213.07865227273982,664,0.8383838383838383,20.091918542979702,10.283825896649759,73.63901645629015,0.7560240963855421,1.3744658044238443,0.48903536460218183,0.902634235298097,7.10832483422244,affine,left_right_consistency,389,0.02942464256588653,0.024370137635214187,False,False,,,False,0,0,1,600,0,0,0,0,0,0,0,0,0,0
3,0.3110752,194103.2582411499,332.9386933810461,583,0.7361111111111112,27.28745020766469,15.776974083261848,99.6350600482026,0.6432246998284734,2.0902482397138065,0.7291002798525175,0.8586530013695565,13.443394905135495,affine,left_right_consistency,300,0.06302256597043819,0.0308623815155989,False,False,,,False,0,0,1,600,0,0,0,0,0,0,0,0,0,0
4,0.4146917,222346.0381860953,421.90899086545596,527,0.6654040404040404,31.58202313336448,17.54483382237912,100.16796764293288,0.5787476280834914,2.834828507908006,1.0371109073004723,0.8413564387437865,13.866254811856535,affine,left_right_consistency,232,0.10723235957223075,0.0901347925513157,False,False,,,True,0,0,2,1187,13,0,0,0,0,0,0,1,1,0
5,0.5184302,110558.85535453344,152.70560131841637,724,0.9141414141414141,20.363242334631018,8.813786531347489,94.11070839080804,0.7955801104972375,0.7473127130656039,0.2755236707637055,0.9567044491471353,4.326356791774357,affine,left_right_consistency,432,0.01992943148112264,0.015796360252245942,False,False,,,False,0,0,2,1187,13,0,0,0,0,0,0,1,1,0
6,0.6220448,169664.1472660174,275.8766622211665,615,0.7765151515151515,24.03959739907547,13.434033763893495,86.14532044695899,0.7203252032520325,1.5023105654583682,0.5419787395811273,0.8890514683559878,15.72121870205703,affine,left_right_consistency,371,0.03573286576156464,0.049118401257684186,False,False,,,False,0,0,2,1187,13,0,0,0,0,0,0,1,1,0
7,0.7257977,205669.08687923802,376.68330930263375,546,0.6893939393939394,27.834772821435575,17.02970344771876,93.45036141659861,0.6318681318681318,2.2821536257465502,0.8727987543717884,0.8368129888292771,24.05479044789089,affine,left_right_consistency,281,0.030168377544531003,0.06868583227089371,False,False,,,True,0,0,3,1787,13,0,0,0,0,0,0,1,1,0
8,0.8294199,110257.83623514044,160.49175580078665,687,0.8875968992248062,17.421061150132928,8.345724430555322,67.2082411460529,0.8049490538573508,0.7946367170812142,0.276374622240052,0.9788773935902536,4.731989065040664,affine,left_right_consistency,507,0.011751823235045025,0.02058058824607846,False,False,,,False,0,0,3,1787,13,0,0,0,0,0,0,1,1,0
9,0.9331467,168829.84307315288,285.6680931863839,591,0.7635658914728682,24.244376327691032,13.911093174672644,94.37059687446839,0.7360406091370558,1.5889233556916207,0.5843145573949329,0.9101153211485428,14.50089222089858,affine,left_right_consistency,379,0.009400619540727467,0.009368274099232587,False,False,,,True,0,0,4,2345,55,0,0,0,0,0,0,2,2,0
10,1.03691,136306.41432495555,208.10139591596268,655,0.827020202020202,18.466546432630008,9.20039854775709,73.29744263675111,0.7709923664122137,0.8189907883146191,0.27487749114266075,0.9860213129927239,5.489198538038062,affine,left_right_consistency,487,0.011663858963985661,0.03390723924045932,False,False,,,False,0,0,4,2345,55,0,0,0,0,0,0,2,2,0
