config,ate_rmse_m,rpe_trans_percent,rpe_rot_deg_per_m,kitti_mean_trans_percent,tracking_failures,fallbacks_used,motion_gate_rejections,low_projection_rejections,residual_p95_gate_rejections,cost_jump_rejections,lk_consistency_rejections,reinitializations,loop_candidates,loop_verified,loop_corrections_applied,ba_runs,ba_accepted,ba_rejected,active_points_culled,keyframes,wall_time_s,avg_runtime_ms
strict_full,3.4278875727725295,2.037647159389003,0.015980093013734726,2.0258769516656865,12,12,2,0,0,1,0,0,17,0,0,64,47,17,1282,141,516.878841000027,1722.6628200637713
no_left_right_check,3.771596281320698,2.8141964361659393,0.026826964256173414,2.7588270104942922,6,6,2,0,0,0,0,0,16,0,0,68,53,15,1558,142,530.1422615000047,1749.198700337948
no_quality_gates,3.4419145175904036,2.0374495654297373,0.015995505282307552,2.0266152069004875,11,11,2,0,0,0,0,0,17,0,0,65,48,17,1255,141,541.0486283000791,1792.2396969870138
no_joint_ba,59.36140520643406,36.005936515826264,0.48667280012986697,37.735402037650935,12,12,2,0,0,1,0,0,17,0,0,64,62,2,511,141,55.96089679992292,180.73474748852823
no_affine_brightness,3.325326112600124,2.0561185168789855,0.018274019274028008,2.038064854594622,7,7,1,0,3,1,0,0,16,0,0,66,64,2,1746,139,557.162816899945,1857.253845484404
loop_candidates_only,3.4278875727725295,2.037647159389003,0.015980093013734726,2.0258769516656865,12,12,2,0,0,1,0,0,17,0,0,64,47,17,1282,141,626.6375268000411,2088.880067564279
lk_pnp_only,3.7975935013490583,3.0280705524273563,0.020311447655262334,2.9762611613176473,9,9,2,0,7,0,0,0,15,0,0,65,49,16,1416,139,497.58378089999314,1658.0527672255225
photometric_with_motion_gate,2.8182218870472266,1.7394963332934867,0.014729194679302806,1.7277848376634997,25,25,0,0,0,0,0,0,16,0,0,59,42,17,2480,144,1004.8022611000342,3349.775864214739
grid_uniform_selection,4.0707826261584,2.5953832934962056,0.026410931011925914,2.6715489341328196,16,16,1,0,2,0,1,0,13,0,0,63,47,16,1238,142,671.196401800029,2218.4711913033125
outlier_culling_on,3.6679759054285106,2.1736892347900323,0.020570734877910314,2.196443644886683,17,17,2,0,1,0,0,0,13,0,0,61,46,15,2582,140,637.9654917999869,2111.9193504977175
outlier_culling_off,2.8182218870472266,1.7394963332934867,0.014729194679302806,1.7277848376634997,25,25,0,0,0,0,0,0,16,0,0,59,42,17,2480,144,659.6555044999113,2199.3276448145566
